YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in $","PRODUCTION in TONS","YIELD in TONS / ACRE"
1972,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,600,000","1,229,600,000",116," ","2,028,840,000"," "," "
1973,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,280,000","1,206,960,000",107," ","3,113,957,000"," "," "
1974,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,100,000","968,000,000",80," ","2,874,960,000"," "," "
1975,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,420,000","1,117,800,000",90," ","2,794,500,000"," "," "
1976,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,900,000","1,173,900,000",91," ","2,406,495,000"," "," "
1977,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,700,000","1,092,200,000",86," ","2,173,478,000"," "," "
1978,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,850,000","1,477,750,000",115," ","3,206,718,000"," "," "
1979,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,100,000","1,663,700,000",127," ","4,026,154,000"," "," "
1980,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,300,000","1,463,000,000",110," ","4,345,110,000"," "," "
1981,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,850,000","1,731,250,000",125," ","4,172,313,000"," "," "
1982,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,150,000","1,578,000,000",120," ","4,244,820,000"," "," "
1983,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","8,550,000","743,850,000",87," ","2,320,812,000"," "," "
1984,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,900,000","1,444,800,000",112," ","3,626,448,000"," "," "
1985,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,550,000","1,707,300,000",126," ","3,448,746,000"," "," "
1986,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,050,000","1,626,750,000",135," ","2,293,718,000"," "," "
1987,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,150,000","1,319,500,000",130," ","2,493,855,000"," "," "
1988,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","10,700,000","898,800,000",84," ","2,202,060,000"," "," "
1989,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,250,000","1,445,500,000",118," ","3,310,195,000"," "," "
1990,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,400,000","1,562,400,000",126," ","3,452,904,000"," "," "
1991,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,200,000","1,427,400,000",117," ","3,283,020,000"," "," "
1992,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,950,000","1,903,650,000",147," ","3,807,300,000"," "," "
1993,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,000,000","880,000,000",80," ","2,147,200,000"," "," "
1994,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,600,000","1,915,200,000",152," ","4,251,744,000"," "," "
1995,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,600,000","1,426,800,000",123," ","4,565,760,000"," "," "
1996,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,400,000","1,711,200,000",138," ","4,449,120,000"," "," "
1997,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,900,000","1,642,200,000",138," ","3,826,326,000"," "," "
1998,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,200,000","1,769,000,000",145," ","3,290,340,000"," "," "
1999,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,800,000","1,758,200,000",149," ","3,024,104,000"," "," "
2000,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,000,000","1,728,000,000",144," ","3,024,000,000"," "," "
2001,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,400,000","1,664,400,000",146," ","3,162,360,000"," "," "
2002,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,850,000","1,931,550,000",163," ","4,288,041,000"," "," "
2003,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","11,900,000","1,868,300,000",157," ","4,427,871,000"," "," "
2004,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,400,000","2,244,400,000",181," ","4,466,356,000"," "," "
2005,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,500,000","2,162,500,000",173," ","4,195,250,000"," "," "
2006,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,350,000","2,050,100,000",166," ","6,211,803,000"," "," "
2007,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,900,000","2,376,900,000",171," ","10,196,901,000"," "," "
2008,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","12,800,000","2,188,800,000",171," ","8,974,080,000"," "," "
2009,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,300,000","2,407,300,000",181," ","8,642,207,000"," "," "
2010,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,050,000","2,153,250,000",165," ","11,261,498,000"," "," "
2011,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,700,000","2,356,400,000",172," ","14,609,680,000"," "," "
2012,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,700,000","1,876,900,000",137," ","12,988,148,000"," "," "
2013,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,050,000","2,140,200,000",164," ","9,609,498,000"," "," "
2014,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,300,000","2,367,400,000",178," ","8,759,380,000"," "," "
2015,IOWA,19,"  ","   ",YEAR,"CORN, GRAIN","ALL PRODUCTION PRACTICES","13,300,000","2,407,300,000",181," "," "," "," "
1919,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","290,000"," "," "," "," ","2,262,000",7.8
1920,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","309,000"," "," "," "," ","2,688,000",8.7
1921,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","256,000"," "," "," "," ","2,176,000",8.5
1922,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","249,000"," "," "," "," ","2,266,000",9.1
1923,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","280,000"," "," "," "," ","2,212,000",7.9
1924,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","312,000"," "," "," "," ","2,215,000",7.1
1925,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","278,000"," "," "," "," ","2,363,000",8.5
1926,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","280,000"," "," "," "," ","2,128,000",7.6
1927,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","330,000"," "," "," "," ","2,673,000",8.1
1928,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","237,000"," "," "," "," ","1,991,000",8.4
1929,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","248,000"," "," "," "," ","2,108,000",8.5
1930,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","280,000"," "," "," "," ","2,240,000",8
1931,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","345,000"," "," "," "," ","2,415,000",7
1932,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","250,000"," "," "," "," ","2,300,000",9.2
1933,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","253,000"," "," "," "," ","2,277,000",9
1934,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","477,000"," "," "," "," ","2,862,000",6
1935,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","314,000"," "," "," "," ","2,795,000",8.9
1936,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","915,000"," "," "," "," ","3,202,000",3.5
1937,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","343,000"," "," "," "," ","2,950,000",8.6
1938,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","240,000"," "," "," "," ","2,400,000",10
1939,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","189,000"," "," "," "," ","1,966,000",10.4
1940,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","165,000"," "," "," "," ","1,650,000",10
1941,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","172,000"," "," "," "," ","1,720,000",10
1942,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","134,000"," "," "," "," ","1,407,000",10.5
1943,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","161,000"," "," "," "," ","1,739,000",10.8
1944,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","221,000"," "," "," "," ","2,100,000",9.5
1945,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","218,000"," "," "," "," ","1,897,000",8.7
1946,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","178,000"," "," "," "," ","1,869,000",10.5
1947,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","281,000"," "," "," "," ","1,798,000",6.4
1948,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","179,000"," "," "," "," ","1,969,000",11
1949,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","219,000"," "," "," "," ","2,212,000",10.1
1950,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","167,000"," "," "," "," ","1,670,000",10
1951,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","184,000"," "," "," "," ","1,564,000",8.5
1952,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","161,000"," "," "," "," ","1,771,000",11
1953,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","224,000"," "," "," "," ","2,352,000",10.5
1954,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","293,000"," "," "," "," ","2,784,000",9.5
1955,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","323,000"," "," "," "," ","2,907,000",9
1956,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","372,000"," "," "," "," ","3,534,000",9.5
1957,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","225,000"," "," "," "," ","2,475,000",11
1958,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","243,000"," "," "," "," ","2,794,000",11.5
1959,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","299,000"," "," "," "," ","3,468,000",11.6
1960,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","340,000"," "," "," "," ","3,910,000",11.5
1961,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","269,000"," "," "," "," ","3,632,000",13.5
1962,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","374,000"," "," "," "," ","5,049,000",13.5
1963,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","423,000"," "," "," "," ","5,710,000",13.5
1964,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","457,000"," "," "," "," ","5,712,000",12.5
1965,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","466,000"," "," "," "," ","6,291,000",13.5
1966,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","480,000"," "," "," "," ","6,960,000",14.5
1967,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","538,000"," "," "," "," ","7,263,000",13.5
1968,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","515,000"," "," "," "," ","7,468,000",14.5
1969,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","540,000"," "," "," "," ","8,100,000",15
1970,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","613,000"," "," "," "," ","7,969,000",13
1971,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","625,000"," "," "," "," ","9,063,000",14.5
1972,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","600,000"," "," "," "," ","9,600,000",16
1973,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","630,000"," "," "," "," ","9,765,000",15.5
1974,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","920,000"," "," "," "," ","10,580,000",11.5
1975,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","850,000"," "," "," "," ","11,475,000",13.5
1976,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","970,000"," "," "," "," ","12,125,000",12.5
1977,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","875,000"," "," "," "," ","10,938,000",12.5
1978,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","660,000"," "," "," "," ","10,560,000",16
1979,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","600,000"," "," "," "," ","10,500,000",17.5
1980,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","640,000"," "," "," "," ","9,472,000",14.8
1981,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","480,000"," "," "," "," ","7,920,000",16.5
1982,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","520,000"," "," "," "," ","8,216,000",15.8
1983,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","520,000"," "," "," "," ","6,240,000",12
1984,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","395,000"," "," "," "," ","5,925,000",15
1985,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","300,000"," "," "," "," ","4,800,000",16
1986,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","200,000"," "," "," "," ","3,400,000",17
1987,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","220,000"," "," "," "," ","3,520,000",16
1988,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","550,000"," "," "," "," ","4,950,000",9
1989,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","340,000"," "," "," "," ","4,590,000",13.5
1990,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","300,000"," "," "," "," ","4,650,000",15.5
1991,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","250,000"," "," "," "," ","3,750,000",15
1992,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","230,000"," "," "," "," ","4,025,000",17.5
1993,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","400,000"," "," "," "," ","4,400,000",11
1994,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","270,000"," "," "," "," ","4,860,000",18
1995,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","250,000"," "," "," "," ","3,750,000",15
1996,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","250,000"," "," "," "," ","4,500,000",18
1997,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","260,000"," "," "," "," ","4,680,000",18
1998,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","250,000"," "," "," "," ","4,125,000",16.5
1999,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","270,000"," "," "," "," ","4,860,000",18
2000,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","250,000"," "," "," "," ","4,250,000",17
2001,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","230,000"," "," "," "," ","4,255,000",18.5
2002,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","270,000"," "," "," "," ","5,130,000",19
2003,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","330,000"," "," "," "," ","6,600,000",20
2004,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","230,000"," "," "," "," ","4,485,000",19.5
2005,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","230,000"," "," "," "," ","4,255,000",18.5
2006,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","220,000"," "," "," "," ","4,070,000",18.5
2007,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","250,000"," "," "," "," ","4,875,000",19.5
2008,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","200,000"," "," "," "," ","4,100,000",20.5
2009,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","220,000"," "," "," "," ","4,840,000",22
2010,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","240,000"," "," "," "," ","5,160,000",21.5
2011,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","200,000"," "," "," "," ","4,100,000",20.5
2012,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","375,000"," "," "," "," ","5,625,000",15
2013,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","390,000"," "," "," "," ","7,410,000",19
2014,IOWA,19,"  ","   ",YEAR,"CORN, SILAGE","ALL PRODUCTION PRACTICES","310,000"," "," "," "," ","6,200,000",20
